date,symbol,compound_b,neg_b,neu_b,pos_b,compound_t,neg_t,neu_t,pos_t
2020-10-16,AZN,0.9818,0.026,2.878,0.097,0.03970000000000001,0.178,2.6189999999999998,0.203
2020-10-16,JNJ,0.0,0.0,1.0,0.0,0.802,0.0,0.783,0.217
2020-10-16,PFE,0.0516,0.052,2.911,0.038,1.1466,0.12,4.519,0.36
2020-10-17,PFE,0.8479,0.042,0.825,0.133,0.0,0.0,1.0,0.0
2020-10-18,JNJ,-0.016900000000000026,0.16,1.679,0.161,-0.6597,0.239,1.7610000000000001,0.0
2020-10-19,AZN,0.8105,0.25,5.449999999999999,0.3,0.0717000000000001,0.625,5.67,0.7049999999999998
2020-10-19,MRNA,0.8783,0.055,0.855,0.09,0.237,0.228,2.5629999999999997,0.20900000000000002
2020-10-19,PFE,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0
2020-10-20,AZN,-0.028799999999999937,0.138,5.71,0.151,-1.0534,0.44499999999999995,5.353,0.202
2020-10-20,MRNA,1.1969,0.109,2.723,0.16699999999999998,0.8759000000000001,0.206,3.5020000000000002,0.292
2020-10-21,AZN,0.1779,0.133,6.7139999999999995,0.153,1.0668,0.493,8.667,0.839
2020-10-21,JNJ,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2020-10-21,MRNA,0.0,0.0,0.0,0.0,0.0772,0.174,0.638,0.187
2020-10-21,PFE,2.8821,0.111,2.667,0.222,0.4215,0.0,2.843,0.157
2020-10-22,AZN,1.3445,0.067,6.7540000000000004,0.179,-0.3285999999999999,0.45299999999999996,8.228000000000002,0.319
2020-10-22,JNJ,-0.10270000000000001,0.14700000000000002,1.749,0.10400000000000001,-0.743,0.364,1.6360000000000001,0.0
2020-10-22,MRNA,0.6705,0.048,0.882,0.07,0.592,0.0,2.822,0.178
2020-10-23,AZN,-0.18699999999999994,0.173,2.69,0.136,-0.8402,0.281,4.718999999999999,0.0
2020-10-23,JNJ,0.0,0.0,0.0,0.0,0.296,0.0,0.891,0.109
2020-10-23,MRNA,1.9179,0.073,1.695,0.232,0.0,0.0,3.0,0.0
2020-10-23,PFE,2.5487,0.157,4.428,0.41600000000000004,1.6558,0.0,5.146,0.854
2020-10-24,PFE,0.9931,0.056,0.82,0.123,0.0,0.0,1.0,0.0
2020-10-25,AZN,2.835,0.172,2.591,0.236,0.7615000000000001,0.0,2.676,0.324
2020-10-25,MRNA,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2020-10-26,AZN,1.2481,0.111,4.603,0.287,0.6861,0.149,4.359,0.492
2020-10-26,JNJ,0.0,0.0,0.0,0.0,0.3182,0.0,0.901,0.099
2020-10-26,MRNA,0.9894,0.014,0.854,0.132,0.4939,0.0,0.842,0.158
2020-10-26,PFE,1.1134,0.025,2.8729999999999998,0.102,0.679,0.0,3.63,0.37
2020-10-27,AZN,0.0,0.0,1.0,0.0,0.7096,0.0,0.67,0.33
2020-10-27,MRNA,0.9911,0.013,0.856,0.131,0.0,0.0,1.0,0.0
2020-10-27,PFE,2.6790000000000003,0.20500000000000002,11.259,0.537,0.31759999999999994,0.41000000000000003,12.209,0.381
2020-10-28,AZN,-2.4128,0.28600000000000003,3.5220000000000002,0.193,-0.35309999999999986,0.402,2.962,0.635
2020-10-28,JNJ,0.0,0.0,0.0,0.0,0.7506,0.113,0.675,0.212
2020-10-28,MRNA,0.9232,0.029,0.903,0.069,-0.6369,0.187,1.758,0.056
2020-10-28,PFE,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2020-10-29,AZN,2.6668,0.11199999999999999,2.597,0.29100000000000004,-0.5065999999999999,0.196,2.6180000000000003,0.186
2020-10-29,MRNA,3.6255,0.187,9.41,0.403,0.04910000000000003,0.267,11.573,0.16
2020-10-30,AZN,0.9788,0.025,1.8519999999999999,0.123,0.0,0.0,2.0,0.0
2020-10-30,JNJ,0.9872,0.0,1.8519999999999999,0.148,0.0,0.0,2.0,0.0
2020-10-30,MRNA,1.9742,0.045,1.778,0.177,0.0,0.0,2.0,0.0
2020-10-30,PFE,0.9996,0.027,3.848,0.125,0.3802,0.129,3.651,0.22099999999999997
2020-11-01,AZN,1.9676,0.07100000000000001,1.749,0.179,0.0,0.0,2.0,0.0
2020-11-01,PFE,0.9396,0.012,0.964,0.024,0.0,0.0,1.0,0.0
2020-11-02,AZN,0.9834,0.014,3.753,0.232,0.6572,0.0,3.739,0.261
2020-11-02,JNJ,1.9304000000000001,0.08399999999999999,2.708,0.20700000000000002,0.5138,0.2,2.324,0.476
2020-11-02,MRNA,0.0,0.0,0.0,0.0,0.3818,0.0,0.909,0.091
2020-11-02,PFE,1.9127,0.089,2.7239999999999998,0.187,0.0,0.0,3.0,0.0
2020-11-03,JNJ,0.0,0.0,2.0,0.0,1.3372000000000002,0.0,1.413,0.587
2020-11-03,PFE,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2020-11-04,AZN,1.6246,0.0,5.904,0.096,1.4868000000000001,0.18,7.1160000000000005,0.704
2020-11-04,PFE,0.0,0.0,1.0,0.0,1.4521000000000002,0.0,1.6440000000000001,0.356
2020-11-05,AZN,3.6309,0.349,8.987,0.6649999999999999,0.5644,0.41999999999999993,8.995999999999999,0.5840000000000001
2020-11-05,JNJ,0.9086,0.059,1.8519999999999999,0.089,0.0,0.0,2.0,0.0
2020-11-05,PFE,0.9993,0.031,2.863,0.106,0.296,0.0,2.879,0.121
2020-11-06,AZN,0.7231,0.108,1.697,0.195,0.1779,0.325,2.2169999999999996,0.45899999999999996
2020-11-06,PFE,3.6858,0.139,3.458,0.402,-0.802,0.31,3.69,0.0
2020-11-08,AZN,0.9899,0.0,1.912,0.088,0.0,0.0,2.0,0.0
2020-11-08,PFE,1.9034,0.068,1.701,0.23199999999999998,0.0,0.0,2.0,0.0
2020-11-09,AZN,0.9926,0.019,1.865,0.116,0.4215,0.0,1.823,0.177
2020-11-09,PFE,4.3419,0.16699999999999998,5.367,0.46599999999999997,4.0453,0.069,11.423,1.508
2020-11-10,AZN,0.014599999999999946,0.15,1.718,0.132,0.16869999999999996,0.361,3.3600000000000003,0.279
2020-11-10,PFE,5.6487,0.21000000000000002,8.268,0.522,1.6697999999999997,0.317,9.647,1.037
